Vendor Location,Participant Category,Year Month, Number of Participants Redeemed , Number Vouchers Redeemed ,Total Cost Vouchers,Average Cost,Statewide Infant Formula Rebate,Total Cost Vouchers Adjusted,Average Cost Adjusted,State Average Cost Adjusted
ALAMEDA             ,Breastfeeding Mother  ,2013-09,"3,446","14,175","$211,626.63 ",$61.41 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-10,"3,455","14,070","$210,867.00 ",$61.03 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-11,"3,316","13,620","$205,127.29 ",$61.86 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-12,"3,373","13,924","$209,846.63 ",$62.21 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-01,"3,555","14,480","$219,551.57 ",$61.76 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-02,"3,692","14,887","$227,894.96 ",$61.73 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-03,"3,703","14,921","$229,374.27 ",$61.94 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-04,"3,578","14,613","$226,924.84 ",$63.42 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-05,"3,476","14,204","$220,671.37 ",$63.48 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-06,"3,406","14,040","$216,089.65 ",$63.44 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-07,"3,511","14,403","$223,437.00 ",$63.64 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-08,"3,493","14,128","$219,357.99 ",$62.80 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-09,"3,506","14,387","$223,313.04 ",$63.69 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-10,"3,549","14,370","$223,517.70 ",$62.98 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-11,"3,502","13,964","$218,503.68 ",$62.39 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2014-12,"3,411","13,606","$213,485.74 ",$62.59 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-01,"3,407","13,773","$217,072.17 ",$63.71 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-02,"3,346","13,646","$215,036.03 ",$64.27 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-03,"3,330","13,445","$207,637.10 ",$62.35 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-04,"3,356","13,519","$205,402.00 ",$61.20 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-05,"3,243","13,058","$198,157.28 ",$61.10 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-06,"3,276","13,030","$198,163.35 ",$60.49 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-07,"3,232","12,710","$193,109.01 ",$59.75 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-08,"3,262","12,919","$196,996.70 ",$60.39 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-09,"3,337","13,580","$208,633.99 ",$62.52 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-10,"3,246","13,080","$202,674.26 ",$62.44 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-11,"3,103","12,556","$195,377.27 ",$62.96 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2015-12,"3,117","12,605","$194,686.12 ",$62.46 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-01,"3,132","12,647","$195,532.93 ",$62.43 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-02,"3,123","12,703","$194,648.84 ",$62.33 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-03,"3,097","12,431","$189,170.80 ",$61.08 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-04,"3,164","12,711","$196,419.41 ",$62.08 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-05,"3,497","13,596","$207,274.64 ",$59.27 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-06,"3,308","13,035","$197,876.47 ",$59.82 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-07,"3,120","12,558","$188,583.88 ",$60.44 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-08,"2,983","12,083","$181,055.66 ",$60.70 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-09,"3,000","12,082","$180,526.55 ",$60.18 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-10,"2,920","11,828","$177,504.31 ",$60.79 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-11,"2,866","11,608","$175,222.12 ",$61.14 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2016-12,"2,810","11,242","$169,822.38 ",$60.44 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-01,"2,889","11,561","$174,313.40 ",$60.34 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-02,"2,780","11,149","$168,319.89 ",$60.55 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-03,"2,807","11,124","$168,551.27 ",$60.05 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-04,"2,756","10,848","$165,992.09 ",$60.23 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-05,"2,635","10,265","$156,779.88 ",$59.50 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-06,"2,644","10,472","$160,754.14 ",$60.80 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-07,"2,623","10,307","$159,485.17 ",$60.80 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-08,"2,634","10,147","$157,092.80 ",$59.64 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-09,"2,595","10,153","$156,607.27 ",$60.35 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-10,"2,559","9,844","$152,344.69 ",$59.53 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-11,"2,465","9,417","$145,911.15 ",$59.19 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2017-12,"2,376","9,110","$140,990.49 ",$59.34 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-01,"2,446","9,430","$148,346.28 ",$60.65 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-02,"2,461","9,578","$150,718.88 ",$61.24 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-03,"2,428","9,263","$146,421.57 ",$60.31 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-04,"2,412","9,236","$145,627.22 ",$60.38 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-05,"2,356","8,855","$139,813.43 ",$59.34 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-06,"2,355","8,884","$139,769.10 ",$59.35 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-07,"2,391","8,937","$142,003.32 ",$59.39 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-08,"2,431","9,044","$144,097.47 ",$59.27 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-09,"2,367","8,939","$143,116.90 ",$60.46 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-10,"2,301","8,734","$139,534.76 ",$60.64 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-11,"2,245","8,699","$141,320.31 ",$62.95 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2018-12,"2,200","8,556","$140,164.70 ",$63.71 ,,,,
ALAMEDA             ,Child  ,2010-01,"20,591","77,661","$949,516.52 ",$46.11 ,,,,
ALAMEDA             ,Child  ,2010-02,"20,666","77,875","$943,986.39 ",$45.68 ,,,,
ALAMEDA             ,Child  ,2010-03,"20,917","78,552","$951,507.50 ",$45.49 ,,,,
ALAMEDA             ,Child  ,2010-04,"21,061","79,314","$964,349.85 ",$45.79 ,,,,
ALAMEDA             ,Child  ,2010-05,"20,911","78,635","$949,060.83 ",$45.39 ,,,,
ALAMEDA             ,Child  ,2010-06,"21,253","80,035","$964,381.53 ",$45.38 ,,,,
ALAMEDA             ,Child  ,2010-07,"21,146","79,305","$955,344.22 ",$45.18 ,,,,
ALAMEDA             ,Child  ,2010-08,"21,229","79,734","$972,176.13 ",$45.79 ,,,,
ALAMEDA             ,Child  ,2010-09,"21,322","80,477","$989,756.43 ",$46.42 ,,,,
ALAMEDA             ,Child  ,2010-10,"21,191","79,647","$993,450.36 ",$46.88 ,,,,
ALAMEDA             ,Child  ,2010-11,"21,276","80,125","$1,009,997.12 ",$47.47 ,,,,
ALAMEDA             ,Child  ,2010-12,"21,141","79,286","$1,009,744.85 ",$47.76 ,,,,
ALAMEDA             ,Child  ,2011-01,"21,392","80,551","$1,034,606.23 ",$48.36 ,,,,
ALAMEDA             ,Child  ,2011-02,"20,955","79,173","$1,030,748.77 ",$49.19 ,,,,
ALAMEDA             ,Child  ,2011-03,"21,296","80,154","$1,062,384.52 ",$49.89 ,,,,
ALAMEDA             ,Child  ,2011-04,"21,582","81,293","$1,079,072.17 ",$50.00 ,,,,
ALAMEDA             ,Child  ,2011-05,"21,572","80,944","$1,070,737.41 ",$49.64 ,,,,
ALAMEDA             ,Child  ,2011-06,"21,815","82,090","$1,096,203.06 ",$50.25 ,,,,
ALAMEDA             ,Child  ,2011-07,"21,704","81,574","$1,108,956.51 ",$51.09 ,,,,
ALAMEDA             ,Child  ,2011-08,"21,836","82,007","$1,148,181.25 ",$52.58 ,,,,
ALAMEDA             ,Child  ,2011-09,"21,841","82,421","$1,157,050.61 ",$52.98 ,,,,
ALAMEDA             ,Child  ,2011-10,"21,906","81,945","$1,165,227.60 ",$53.19 ,,,,
ALAMEDA             ,Child  ,2011-11,"22,090","82,490","$1,169,717.29 ",$52.95 ,,,,
ALAMEDA             ,Child  ,2011-12,"21,861","81,618","$1,153,072.01 ",$52.75 ,,,,
ALAMEDA             ,Child  ,2012-01,"22,104","82,747","$1,165,010.88 ",$52.71 ,,,,
ALAMEDA             ,Child  ,2012-02,"21,971","82,440","$1,153,637.55 ",$52.51 ,,,,
ALAMEDA             ,Child  ,2012-03,"22,190","82,707","$1,159,342.47 ",$52.25 ,,,,
ALAMEDA             ,Child  ,2012-04,"22,025","82,823","$1,160,768.65 ",$52.70 ,,,,
ALAMEDA             ,Child  ,2012-05,"22,493","83,752","$1,108,160.63 ",$49.27 ,,,,
ALAMEDA             ,Child  ,2012-06,"22,374","83,591","$1,036,562.54 ",$46.33 ,,,,
ALAMEDA             ,Child  ,2012-07,"22,239","83,007","$1,030,433.05 ",$46.33 ,,,,
ALAMEDA             ,Child  ,2012-08,"22,496","83,793","$1,043,011.30 ",$46.36 ,,,,
ALAMEDA             ,Child  ,2012-09,"21,989","82,397","$1,029,980.95 ",$46.84 ,,,,
ALAMEDA             ,Child  ,2012-10,"21,766","81,166","$1,021,474.37 ",$46.93 ,,,,
ALAMEDA             ,Child  ,2012-11,"21,537","80,187","$1,018,814.23 ",$47.31 ,,,,
ALAMEDA             ,Child  ,2012-12,"21,008","78,556","$1,005,713.26 ",$47.87 ,,,,
ALAMEDA             ,Child  ,2013-01,"21,458","80,148","$1,035,519.02 ",$48.26 ,,,,
ALAMEDA             ,Child  ,2013-02,"20,802","78,169","$1,012,711.44 ",$48.68 ,,,,
ALAMEDA             ,Child  ,2013-03,"20,683","77,670","$1,003,467.68 ",$48.52 ,,,,
ALAMEDA             ,Child  ,2013-04,"21,144","79,290","$1,017,319.73 ",$48.11 ,,,,
ALAMEDA             ,Child  ,2013-05,"21,260","79,531","$1,017,132.86 ",$47.84 ,,,,
ALAMEDA             ,Child  ,2013-06,"21,217","79,774","$1,017,011.31 ",$47.93 ,,,,
ALAMEDA             ,Child  ,2013-07,"21,587","80,644","$1,027,444.31 ",$47.60 ,,,,
ALAMEDA             ,Child  ,2013-08,"21,198","79,278","$1,005,475.88 ",$47.43 ,,,,
ALAMEDA             ,Child  ,2013-09,"21,271","79,665","$1,012,648.84 ",$47.61 ,,,,
ALAMEDA             ,Child  ,2013-10,"21,070","78,173","$996,038.58 ",$47.27 ,,,,
ALAMEDA             ,Child  ,2013-11,"20,084","74,774","$956,087.77 ",$47.60 ,,,,
ALAMEDA             ,Child  ,2013-12,"20,200","75,097","$960,747.11 ",$47.56 ,,,,
ALAMEDA             ,Child  ,2014-01,"21,208","78,527","$1,010,325.60 ",$47.64 ,,,,
ALAMEDA             ,Child  ,2014-02,"22,062","80,916","$1,049,542.95 ",$47.57 ,,,,
ALAMEDA             ,Child  ,2014-03,"21,784","79,909","$1,044,452.78 ",$47.95 ,,,,
ALAMEDA             ,Child  ,2014-04,"20,948","77,597","$1,019,118.29 ",$48.65 ,,,,
ALAMEDA             ,Child  ,2014-05,"19,994","73,953","$971,599.56 ",$48.59 ,,,,
ALAMEDA             ,Child  ,2014-06,"19,598","73,182","$971,815.05 ",$49.59 ,,,,
ALAMEDA             ,Child  ,2014-07,"19,764","73,602","$989,869.05 ",$50.08 ,,,,
ALAMEDA             ,Child  ,2014-08,"19,648","72,816","$984,987.93 ",$50.13 ,,,,
ALAMEDA             ,Child  ,2014-09,"19,659","73,438","$996,174.73 ",$50.67 ,,,,
ALAMEDA             ,Child  ,2014-10,"19,762","72,809","$989,417.27 ",$50.07 ,,,,
ALAMEDA             ,Child  ,2014-11,"19,425","71,553","$978,476.18 ",$50.37 ,,,,
ALAMEDA             ,Child  ,2014-12,"19,080","69,890","$959,342.64 ",$50.28 ,,,,
ALAMEDA             ,Child  ,2015-01,"19,221","70,794","$974,407.46 ",$50.69 ,,,,
ALAMEDA             ,Child  ,2015-02,"18,802","69,520","$958,214.25 ",$50.96 ,,,,
ALAMEDA             ,Child  ,2015-03,"18,623","68,711","$934,146.97 ",$50.16 ,,,,
ALAMEDA             ,Child  ,2015-04,"18,938","69,751","$937,054.14 ",$49.48 ,,,,
ALAMEDA             ,Child  ,2015-05,"18,453","67,706","$906,820.91 ",$49.14 ,,,,
ALAMEDA             ,Child  ,2015-06,"18,607","67,850","$908,950.48 ",$48.85 ,,,,
ALAMEDA             ,Child  ,2015-07,"18,288","66,067","$884,569.39 ",$48.37 ,,,,
ALAMEDA             ,Child  ,2015-08,"18,324","66,133","$889,365.33 ",$48.54 ,,,,
ALAMEDA             ,Child  ,2015-09,"18,424","68,087","$920,296.76 ",$49.95 ,,,,
ALAMEDA             ,Child  ,2015-10,"18,121","66,499","$897,508.69 ",$49.53 ,,,,
ALAMEDA             ,Child  ,2015-11,"17,397","64,031","$862,594.01 ",$49.58 ,,,,
ALAMEDA             ,Child  ,2015-12,"17,279","63,535","$851,442.08 ",$49.28 ,,,,
ALAMEDA             ,Child  ,2016-01,"17,504","64,639","$867,019.01 ",$49.53 ,,,,
ALAMEDA             ,Child  ,2016-02,"17,300","63,868","$852,365.29 ",$49.27 ,,,,
ALAMEDA             ,Child  ,2016-03,"17,321","63,987","$851,077.46 ",$49.14 ,,,,
ALAMEDA             ,Child  ,2016-04,"17,218","63,445","$854,236.34 ",$49.61 ,,,,
ALAMEDA             ,Child  ,2016-05,"18,777","67,801","$901,372.95 ",$48.00 ,,,,
ALAMEDA             ,Child  ,2016-06,"17,965","65,136","$864,077.69 ",$48.10 ,,,,
ALAMEDA             ,Child  ,2016-07,"16,764","61,598","$813,167.02 ",$48.51 ,,,,
ALAMEDA             ,Child  ,2016-08,"16,355","60,452","$796,560.65 ",$48.70 ,,,,
ALAMEDA             ,Child  ,2016-09,"16,210","60,151","$794,156.51 ",$48.99 ,,,,
ALAMEDA             ,Child  ,2016-10,"15,840","58,388","$773,491.28 ",$48.83 ,,,,
ALAMEDA             ,Child  ,2016-11,"15,342","56,375","$748,266.55 ",$48.77 ,,,,
ALAMEDA             ,Child  ,2016-12,"15,063","54,963","$729,077.55 ",$48.40 ,,,,
ALAMEDA             ,Child  ,2017-01,"15,377","56,421","$747,167.29 ",$48.59 ,,,,
ALAMEDA             ,Child  ,2017-02,"15,050","55,314","$733,163.14 ",$48.72 ,,,,
ALAMEDA             ,Child  ,2017-03,"15,437","55,881","$742,133.98 ",$48.08 ,,,,
ALAMEDA             ,Child  ,2017-04,"14,771","53,783","$720,762.53 ",$48.80 ,,,,
ALAMEDA             ,Child  ,2017-05,"14,600","52,612","$704,526.74 ",$48.26 ,,,,
ALAMEDA             ,Child  ,2017-06,"14,394","52,288","$705,846.85 ",$49.04 ,,,,
ALAMEDA             ,Child  ,2017-07,"14,127","50,933","$691,514.43 ",$48.95 ,,,,
ALAMEDA             ,Child  ,2017-08,"14,370","51,340","$694,211.86 ",$48.31 ,,,,
ALAMEDA             ,Child  ,2017-09,"14,102","50,516","$682,745.54 ",$48.41 ,,,,
ALAMEDA             ,Child  ,2017-10,"13,942","49,771","$669,749.56 ",$48.04 ,,,,
ALAMEDA             ,Child  ,2017-11,"13,594","48,222","$651,115.90 ",$47.90 ,,,,
ALAMEDA             ,Child  ,2017-12,"13,354","47,455","$642,686.22 ",$48.13 ,,,,
ALAMEDA             ,Child  ,2018-01,"13,998","50,698","$694,601.12 ",$49.62 ,,,,
ALAMEDA             ,Child  ,2018-02,"13,986","50,680","$699,739.28 ",$50.03 ,,,,
ALAMEDA             ,Child  ,2018-03,"14,306","50,759","$698,962.37 ",$48.86 ,,,,
ALAMEDA             ,Child  ,2018-04,"14,243","50,430","$696,005.37 ",$48.87 ,,,,
ALAMEDA             ,Child  ,2018-05,"14,117","49,607","$684,807.12 ",$48.51 ,,,,
ALAMEDA             ,Child  ,2018-06,"13,887","49,102","$677,182.54 ",$48.76 ,,,,
ALAMEDA             ,Child  ,2018-07,"13,934","49,295","$686,776.80 ",$49.29 ,,,,
ALAMEDA             ,Child  ,2018-08,"14,298","49,939","$695,832.65 ",$48.67 ,,,,
ALAMEDA             ,Child  ,2018-09,"13,670","48,486","$674,332.17 ",$49.33 ,,,,
ALAMEDA             ,Child  ,2018-10,"13,403","48,083","$674,090.63 ",$50.29 ,,,,
ALAMEDA             ,Child  ,2018-11,"12,799","46,897","$669,961.67 ",$52.34 ,,,,
ALAMEDA             ,Child  ,2018-12,"12,607","46,369","$670,733.72 ",$53.20 ,,,,
ALAMEDA             ,Infant  ,2010-01,"7,066","27,141","$839,211.79 ",$118.77 ,,,,
ALAMEDA             ,Infant  ,2010-02,"6,958","27,256","$831,931.36 ",$119.56 ,,,,
ALAMEDA             ,Infant  ,2010-03,"7,026","27,068","$833,665.20 ",$118.65 ,,,,
ALAMEDA             ,Infant  ,2010-04,"6,886","22,299","$826,544.08 ",$120.03 ,,,,
ALAMEDA             ,Infant  ,2010-05,"6,748","18,221","$822,859.05 ",$121.94 ,,,,
ALAMEDA             ,Infant  ,2010-06,"6,774","16,634","$826,137.56 ",$121.96 ,,,,
ALAMEDA             ,Infant  ,2010-07,"6,705","16,527","$811,600.17 ",$121.04 ,,,,
ALAMEDA             ,Infant  ,2010-08,"6,639","16,724","$814,824.29 ",$122.73 ,,,,
ALAMEDA             ,Infant  ,2010-09,"6,687","17,115","$822,023.29 ",$122.93 ,,,,
ALAMEDA             ,Infant  ,2010-10,"6,646","16,851","$820,773.85 ",$123.50 ,,,,
ALAMEDA             ,Infant  ,2010-11,"6,617","17,226","$838,797.50 ",$126.76 ,,,,
ALAMEDA             ,Infant  ,2010-12,"6,609","17,176","$843,970.70 ",$127.70 ,,,,
ALAMEDA             ,Infant  ,2011-01,"6,662","17,334","$851,577.07 ",$127.83 ,,,,
ALAMEDA             ,Infant  ,2011-02,"6,582","17,714","$841,797.70 ",$127.89 ,,,,
ALAMEDA             ,Infant  ,2011-03,"6,648","17,705","$852,007.38 ",$128.16 ,,,,
ALAMEDA             ,Infant  ,2011-04,"6,686","18,002","$863,474.27 ",$129.15 ,,,,
ALAMEDA             ,Infant  ,2011-05,"6,603","17,647","$851,547.50 ",$128.96 ,,,,
ALAMEDA             ,Infant  ,2011-06,"6,586","17,726","$855,790.73 ",$129.94 ,,,,
ALAMEDA             ,Infant  ,2011-07,"6,547","17,444","$859,738.97 ",$131.32 ,,,,
ALAMEDA             ,Infant  ,2011-08,"6,562","17,355","$880,878.64 ",$134.24 ,,,,
ALAMEDA             ,Infant  ,2011-09,"6,519","17,339","$878,261.34 ",$134.72 ,,,,
ALAMEDA             ,Infant  ,2011-10,"6,600","17,129","$892,850.39 ",$135.28 ,,,,
ALAMEDA             ,Infant  ,2011-11,"6,576","17,172","$886,242.83 ",$134.77 ,,,,
ALAMEDA             ,Infant  ,2011-12,"6,654","17,284","$891,677.90 ",$134.01 ,,,,
ALAMEDA             ,Infant  ,2012-01,"6,692","17,629","$895,904.55 ",$133.88 ,,,,
ALAMEDA             ,Infant  ,2012-02,"6,667","17,788","$893,352.84 ",$134.00 ,,,,
ALAMEDA             ,Infant  ,2012-03,"6,710","17,718","$907,599.09 ",$135.26 ,,,,
ALAMEDA             ,Infant  ,2012-04,"6,608","17,755","$893,464.44 ",$135.21 ,,,,
ALAMEDA             ,Infant  ,2012-05,"6,653","17,542","$856,755.82 ",$128.78 ,,,,
ALAMEDA             ,Infant  ,2012-06,"6,677","17,641","$783,875.69 ",$117.40 ,,,,
ALAMEDA             ,Infant  ,2012-07,"6,570","17,431","$778,659.08 ",$118.52 ,,,,
ALAMEDA             ,Infant  ,2012-08,"6,583","17,348","$785,550.13 ",$119.33 ,,,,
ALAMEDA             ,Infant  ,2012-09,"6,597","17,235","$792,250.26 ",$120.09 ,,,,
ALAMEDA             ,Infant  ,2012-10,"6,680","17,250","$798,634.86 ",$119.56 ,,,,
ALAMEDA             ,Infant  ,2012-11,"6,597","17,034","$789,465.15 ",$119.67 ,,,,
ALAMEDA             ,Infant  ,2012-12,"6,482","16,770","$784,870.50 ",$121.08 ,,,,
ALAMEDA             ,Infant  ,2013-01,"6,656","17,171","$810,038.33 ",$121.70 ,,,,
ALAMEDA             ,Infant  ,2013-02,"6,529","17,090","$799,440.17 ",$122.44 ,,,,
ALAMEDA             ,Infant  ,2013-03,"6,566","17,284","$795,822.68 ",$121.20 ,,,,
ALAMEDA             ,Infant  ,2013-04,"6,530","17,324","$798,520.91 ",$122.28 ,,,,
ALAMEDA             ,Infant  ,2013-05,"6,469","17,030","$790,773.77 ",$122.24 ,,,,
ALAMEDA             ,Infant  ,2013-06,"6,386","16,941","$784,239.26 ",$122.81 ,,,,
ALAMEDA             ,Infant  ,2013-07,"6,399","17,001","$789,945.52 ",$123.45 ,,,,
ALAMEDA             ,Infant  ,2013-08,"6,295","16,303","$781,552.24 ",$124.15 ,,,,
